100	99	35
101	101	35
102	103	36
103	105	93
104	107	66
105	109	68
106	111	125
107	113	95
108	115	82
109	117	2728
110	119	340
111	122	27
112	124	456
113	126	357
114	128	42
115	131	41
116	133	88
117	135	60
118	138	140
119	140	338
120	142	250
121	145	48
122	147	83
123	150	56
124	152	44
125	155	66
126	157	51
127	160	150
128	162	48
129	165	72
130	167	159
131	170	43
132	172	119
133	175	87
134	178	94
135	180	56
136	183	63
137	186	99
138	189	73
139	191	80
140	194	106
141	197	71
142	200	63
143	203	61
144	205	58
145	208	65
146	211	46
147	214	45
148	217	61
149	220	123
150	223	302
151	226	189
152	229	66
153	232	47
154	235	74
155	238	63
156	241	199
157	244	74
158	248	71
159	251	271
160	254	75
161	257	72
162	260	93
163	264	195
164	267	95
165	270	85
166	273	64
167	277	77
168	280	258
169	283	127
170	287	336
171	290	154
172	294	292
173	297	202
174	301	113
175	304	258
176	308	319
177	311	412
178	315	269
179	318	134
180	322	139
181	325	129
182	329	231
183	333	263
184	336	261
185	340	337
186	344	296
187	347	278
188	351	256
189	355	337
190	359	221
191	362	212
192	366	243
193	370	377
194	374	130
195	378	628
196	382	194
197	386	282
198	390	122
199	394	193
200	398	213
201	402	310
202	406	414
203	410	444
204	414	687
205	418	505
206	422	351
207	426	569
208	430	323
209	434	264
210	438	344
211	443	285
212	447	363
213	451	383
214	455	385
215	460	452
216	464	361
217	468	579
218	473	194
219	477	306
220	481	371
221	486	390
222	490	598
223	495	217
224	499	341
225	504	443
226	508	460
227	513	452
228	517	208
229	522	471
230	526	443
231	531	418
232	535	406
233	540	402
234	545	395
235	549	539
236	554	547
237	559	512
238	564	542
239	568	568
240	573	216
241	578	716
242	583	504
243	588	553
244	592	524
245	597	285
246	602	461
247	607	597
248	612	440
249	617	320
250	622	344
251	627	415
252	632	357
253	637	448
254	642	485
255	647	273
256	652	457
257	657	485
258	663	241
259	668	523
260	673	611
261	678	546
262	683	303
263	689	588
264	694	530
265	699	557
266	704	428
267	710	434
268	715	414
269	720	933
270	726	375
271	731	452
272	737	867
273	742	704
274	748	448
275	753	800
276	759	519
277	764	752
278	770	661
279	775	575
280	781	805
281	786	260
282	792	528
283	798	833
284	803	912
285	809	2739
286	815	1010
287	820	535
288	826	478
289	832	728
290	838	582
291	843	754
292	849	677
293	855	652
294	861	601
295	867	840
296	873	635
297	879	748
298	885	966
299	891	651
300	897	513
301	903	586
302	909	727
303	915	490
304	921	676
305	927	514
306	933	374
307	939	519
308	945	535
309	951	775
310	957	536
311	964	492
312	970	586
313	976	877
314	982	851
315	989	496
316	995	625
317	1001	353
318	1008	684
319	1014	541
320	1020	607
321	1027	637
322	1033	781
323	1040	602
324	1046	611
325	1053	450
326	1059	550
327	1066	567
328	1072	608
329	1079	576
330	1085	605
331	1092	832
332	1098	905
333	1105	661
334	1112	431
335	1118	788
336	1125	627
337	1132	1046
338	1139	588
339	1145	593
340	1152	595
341	1159	700
342	1166	1115
343	1173	630
344	1179	557
345	1186	733
346	1193	640
347	1200	728
348	1207	592
349	1214	679
350	1221	559
351	1228	669
352	1235	863
353	1242	698
354	1249	657
355	1256	775
356	1263	435
357	1270	848
358	1278	812
359	1285	884
360	1292	718
361	1299	596
362	1306	674
363	1314	611
364	1321	663
365	1328	600
366	1335	796
367	1343	1265
368	1350	852
369	1357	421
370	1365	1169
371	1372	755
372	1380	723
373	1387	793
374	1395	834
375	1402	706
376	1410	657
377	1417	676
378	1425	713
379	1432	735
380	1440	1259
381	1447	769
382	1455	1193
