100	198	65
101	202	63
102	206	101
103	210	87
104	214	92
105	218	106
106	222	107
107	226	127
108	231	111
109	235	129
110	239	117
111	244	129
112	248	143
113	253	147
114	257	2736
115	262	746
116	266	138
117	271	119
118	276	117
119	280	102
120	285	124
121	290	127
122	295	154
123	300	853
124	305	996
125	310	783
126	315	949
127	320	700
128	325	688
129	330	802
130	335	753
131	340	844
132	345	563
133	351	331
134	356	531
135	361	728
136	367	394
137	372	175
138	378	229
139	383	421
140	389	135
141	394	136
142	400	101
143	406	175
144	411	129
145	417	435
146	423	187
147	429	409
148	435	538
149	441	127
150	447	978
151	453	126
152	459	189
153	465	963
154	471	308
155	477	136
156	483	898
157	489	186
158	496	1007
159	502	232
160	508	592
161	515	134
162	521	671
163	528	948
164	534	207
165	541	482
166	547	984
167	554	254
168	561	649
169	567	874
170	574	1009
171	581	645
172	588	693
173	595	908
174	602	472
175	609	770
176	616	800
177	623	865
178	630	155
179	637	185
180	644	449
181	651	478
182	658	1094
183	666	332
184	673	902
185	680	621
186	688	559
187	695	785
188	703	422
189	710	553
190	718	765
191	725	842
192	733	914
193	741	946
194	748	663
195	756	924
196	764	659
197	772	376
198	780	645
199	788	472
200	796	624
201	804	452
202	812	929
203	820	964
204	828	616
205	836	1037
206	844	926
207	852	879
208	861	1086
209	869	955
210	877	967
211	886	1026
212	894	836
213	903	558
214	911	1066
215	920	916
216	928	827
217	937	1107
218	946	974
219	954	826
220	963	1026
221	972	1226
222	981	549
223	990	919
224	999	988
225	1008	1083
226	1017	943
227	1026	814
228	1035	1079
229	1044	966
230	1053	337
231	1062	1062
232	1071	947
233	1081	991
234	1090	674
235	1099	1312
236	1109	1003
237	1118	887
238	1128	1285
239	1137	737
240	1147	1430
241	1156	1420
242	1166	1383
243	1176	633
244	1185	1628
245	1195	1150
246	1205	685
247	1215	1241
248	1225	1102
249	1235	1225
250	1245	1233
251	1255	1025
252	1265	1436
253	1275	1204
254	1285	1681
255	1295	1570
256	1305	1444
257	1315	1362
258	1326	1738
259	1336	1593
260	1346	1524
261	1357	919
262	1367	1666
263	1378	1657
264	1388	1149
265	1399	1593
266	1409	1685
267	1420	1551
268	1431	1744
269	1441	1590
270	1452	1642
271	1463	1554
272	1474	1515
273	1485	1433
274	1496	714
275	1507	1514
276	1518	1419
277	1529	1428
278	1540	1512
279	1551	1571
280	1562	1592
281	1573	1657
282	1584	1614
283	1596	1257
284	1607	1037
285	1618	675
286	1630	1381
287	1641	1444
288	1653	1935
289	1664	1877
290	1676	2126
291	1687	1664
292	1699	2106
293	1711	1633
294	1722	1295
295	1734	1648
296	1746	1690
297	1758	1668
298	1770	1700
299	1782	1970
300	1794	793
301	1806	2628
302	1818	2072
303	1830	2614
304	1842	2351
305	1854	1729
306	1866	3119
307	1878	1644
308	1891	1601
309	1903	1507
310	1915	2438
311	1928	1514
312	1940	539
313	1953	913
314	1965	2966
315	1978	1311
316	1990	1962
317	2003	1910
318	2016	1994
319	2028	1830
320	2041	1753
321	2054	2496
322	2067	1799
323	2080	1630
324	2093	1707
325	2106	2374
326	2119	1169
327	2132	2300
328	2145	2154
329	2158	844
330	2171	1559
331	2184	545
332	2197	1579
333	2211	2134
334	2224	1612
335	2237	1729
336	2251	1863
337	2264	1598
338	2278	1870
339	2291	1825
340	2305	1555
341	2318	1590
342	2332	1664
343	2346	1681
344	2359	1830
345	2373	1520
346	2387	1760
347	2401	1757
348	2415	1824
349	2429	1596
350	2443	2604
351	2457	1812
352	2471	1861
353	2485	1903
354	2499	2359
355	2513	1786
356	2527	2051
357	2541	2533
358	2556	1915
359	2570	1786
360	2584	1980
361	2599	2419
362	2613	1407
363	2628	1872
364	2642	2058
365	2657	2093
366	2671	2245
367	2686	2314
368	2701	2026
369	2715	1989
370	2730	2040
371	2745	2717
372	2760	2177
373	2775	2235
374	2790	2209
375	2805	2246
376	2820	1946
377	2835	1847
378	2850	2320
379	2865	1978
380	2880	913
381	2895	2164
382	2910	1978
