100	100	2	2	1	2	46
100	100	2	2	2	2	90
100	100	2	2	5	2	10
100	100	2	2	3	2	9
100	100	2	2	4	2	11
100	100	2	2	6	3	43
200	200	2	2	1	2	158
200	200	2	2	2	2	539
200	200	2	2	3	2	44
200	200	2	2	4	2	31
200	200	2	2	5	2	55
200	200	2	2	6	3	94
300	300	2	2	1	2	547
300	300	2	2	2	2	731
300	300	2	2	3	2	76
300	300	2	2	4	2	78
300	300	2	2	5	2	72
300	300	2	2	6	3	107
400	400	2	2	1	2	580
400	400	2	2	2	2	930
400	400	2	2	3	2	291
400	400	2	2	4	2	113
400	400	2	2	5	2	194
400	400	2	2	6	3	220
500	500	2	2	1	2	1362
500	500	2	2	2	2	1710
500	500	2	2	3	2	296
500	500	2	2	4	2	304
500	500	2	2	5	2	553
500	500	2	2	6	3	503
600	600	2	2	1	2	2117
600	600	2	2	2	2	2230
600	600	2	2	3	2	516
600	600	2	2	4	2	641
600	600	2	2	5	2	479
600	600	2	2	6	3	513
700	700	2	2	1	2	2244
700	700	2	2	2	2	2958
700	700	2	2	3	2	618
700	700	2	2	4	2	550
700	700	2	2	5	2	538
700	700	2	2	6	3	490
800	800	2	2	1	2	2263
800	800	2	2	2	2	4722
800	800	2	2	3	2	948
800	800	2	2	4	2	1019
800	800	2	2	5	2	765
800	800	2	2	6	3	650
900	900	2	2	1	2	4144
900	900	2	2	2	2	7171
900	900	2	2	3	2	833
900	900	2	2	4	2	1551
900	900	2	2	5	2	1570
900	900	2	2	6	3	1535
1000	1000	2	2	1	2	4663
1000	1000	2	2	2	2	7309
1000	1000	2	2	3	2	2082
1000	1000	2	2	4	2	1720
1000	1000	2	2	5	2	1902
1000	1000	2	2	6	3	1685
2000	2000	2	2	1	2	22309
2000	2000	2	2	2	2	26352
2000	2000	2	2	3	2	6370
2000	2000	2	2	4	2	6222
2000	2000	2	2	5	2	6091
2000	2000	2	2	6	3	5594
3000	3000	2	2	1	2	40897
3000	3000	2	2	2	2	57737
3000	3000	2	2	3	2	16481
3000	3000	2	2	4	2	12161
3000	3000	2	2	5	2	15501
3000	3000	2	2	6	3	12885
4000	4000	2	2	1	2	78724
4000	4000	2	2	2	2	95569
4000	4000	2	2	3	2	28964
4000	4000	2	2	4	2	23848
4000	4000	2	2	5	2	31230
4000	4000	2	2	6	3	23362
5000	5000	2	2	1	2	119511
5000	5000	2	2	2	2	199557
5000	5000	2	2	3	2	46334
5000	5000	2	2	4	2	40383
5000	5000	2	2	5	2	45465
5000	5000	2	2	6	3	27720
8000	8000	2	2	1	2	1981510
10000	10000	2	2	1	2	1168542
8000	8000	2	2	2	2	5711563
8000	8000	2	2	3	2	2512595
10000	10000	2	2	2	2	8502539
8000	8000	2	2	4	2	4991548
10000	10000	2	2	3	2	4038141
8000	8000	2	2	5	2	1945669
8000	8000	2	2	6	3	281387
10000	10000	2	2	4	2	686015
10000	10000	2	2	5	2	1797895
10000	10000	2	2	6	3	1568664
8000	8000	2	2	1	2	1047889
10000	10000	2	2	1	2	1313315
8000	8000	2	2	2	2	1785240
8000	8000	2	2	3	2	406629
8000	8000	2	2	4	2	181157
8000	8000	2	2	5	2	480254
10000	10000	2	2	2	2	3421839
8000	8000	2	2	6	3	395041
10000	10000	2	2	3	2	288468
10000	10000	2	2	4	2	142347
10000	10000	2	2	5	2	55203
10000	10000	2	2	6	3	318670
